customer,location,install_date
Rivera Energía Solar,Ponce PR,2026-06-13
Familia Ortiz Torres,Bayamón PR,2026-06-14
Constructora del Norte,Arecibo PR,2026-06-15
López & Asociados Solar,San Juan PR,2026-06-16
Colmado Reyes,Mayagüez PR,2026-06-17
Hospital San Pablo,Caguas PR,2026-06-18
Inversiones Cruz,Humacao PR,2026-06-19
Escuela Madre Rafols,Guaynabo PR,2026-06-21
Ferretería Mendoza,Ponce PR,2026-06-23
Residencial Villa del Rey,Bayamón PR,2026-06-24
Centro Comercial Caribe,San Juan PR,2026-06-28
Agro-Solar Vega Alta,Arecibo PR,2026-07-02
Clínica Salud Integral,Mayagüez PR,2026-07-05
Auto Parts Jiménez,Caguas PR,2026-07-08
Playa Azul Resort,Humacao PR,2026-07-10
Hacienda Solar del Valle,Cayey PR,2026-07-15
Cooperativa Lares,Lares PR,2026-07-22
Marina Fajardo,Fajardo PR,2026-07-28
Escuela Técnica Caguas,Caguas PR,2026-08-05
Centro Médico Bayamón,Bayamón PR,2026-08-10
